📺央视频道,#genre#
CCTV-6,http://183.130.30.174:8808/rtp/233.50.201.198:5140$1920x1080
CCTV-6,http://113.90.245.163:4000/udp/239.77.0.171:5146$1920x1080
CCTV-10,http://221.196.151.5:8888/udp/225.1.1.140:5002$1920x1080
CCTV-10,http://120.234.5.29:6000/udp/239.20.0.200:2198$1920x1080
CCTV-10,http://110.185.240.152:55555/udp/239.93.1.28:5140$1920x1080
CCTV-10,http://60.164.128.167:8029/rtp/239.255.30.181:8231$1920x1080
CCTV-10,http://27.10.9.110:8003/udp/225.0.4.130:7980$1920x1080
CCTV-10,http://www.lnlee.top:10000/udp/239.81.0.118:4056$1920x1080
CCTV-10,http://1.203.77.72:7788/udp/225.1.8.10:8116$1920x1080
CCTV-10,http://121.227.243.195:7766/rtp/239.49.8.134:6000$1920x1080
CCTV-10,http://124.230.56.119:55555/udp/239.76.253.160:9000$1920x1080
CCTV-10,http://113.90.245.163:4000/udp/239.77.0.134:5146$1920x1080
CCTV-11,http://221.196.151.5:8888/udp/225.1.2.192:5002$1920x1080
CCTV-11,http://60.164.128.167:8029/rtp/239.255.30.62:8231$1920x1080
CCTV-11,http://124.230.56.119:55555/udp/239.76.245.251:1234$1920x1080
CCTV-11,http://www.lnlee.top:10000/udp/239.81.0.229:4056$1920x1080
CCTV-11,http://113.90.245.163:4000/udp/239.77.1.238:5146$1920x1080
CCTV-11,http://27.10.9.110:8003/udp/225.0.4.218:7980$1920x1080
CCTV-11,http://110.185.240.152:55555/udp/239.93.0.102:5140$1920x1080
CCTV-11,http://113.102.162.171:4022/udp/239.77.1.238:5146$1920x1080
CCTV-11,https://api.livednow.org/migu/667987558?sign=gAAAAABnJcJq0uxG3wXdtrtqiIBCWRnKBVOa5nG_MrcR-XE_FxKhhSx7qj7d71b67HWtpFnV2yWlbi0DB4eVSBIi6y6ATRTRy-BAzHYzmANZxHCzKfrpNUunkDnLY0q7rIKTNSg3JuHII5wLmoBSDoeTzc8Tt6xXcUd5Hv-oHFU6L8gBAJjtBl6u0vGjL4NCXzTdg5rTNQf-Lx3S3ew-DiWy1XnrFEc26g%253D%253D$1920x1080
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11$1920x1080
CCTV-12,http://120.234.5.29:6000/udp/239.20.0.201:2200$1920x1080
CCTV-12,http://221.196.151.5:8888/udp/225.1.1.142:5002$1920x1080
CCTV-12,http://1.203.77.72:7788/udp/225.1.8.12:8124$1920x1080
CCTV-12,http://111.193.236.110:8888/rtp/239.3.1.64:8124$1920x1080
CCTV-12,http://60.164.128.167:8029/rtp/239.255.30.182:8231$1920x1080
CCTV-12,http://124.230.56.119:55555/udp/239.76.253.162:9000$1920x1080
CCTV-12,http://www.lnlee.top:10000/udp/239.81.0.119:4056$1920x1080
CCTV-12,http://27.10.9.110:8003/udp/225.0.4.129:7980$1920x1080
CCTV-12,http://183.130.30.174:8808/rtp/233.50.201.123:5140$1920x1080
CCTV-12,http://121.227.243.195:7766/rtp/239.49.8.135:6000$1920x1080
📡卫视频道,#genre#
湖南卫视,http://60.164.128.167:8029/rtp/239.255.30.136:8231$1920x1080
湖南卫视,http://221.196.136.66:1/udp/225.1.1.114:5002$1920x1080
湖南卫视,http://120.234.5.29:6000/udp/239.20.0.105:2008$1920x1080
湖南卫视,http://124.230.56.119:55555/udp/239.76.253.101:9000$1920x1080
湖南卫视,http://121.227.243.195:7766/rtp/239.49.8.142:6000$1920x1080
湖南卫视,http://113.90.245.163:4000/udp/239.77.0.88:5146$1920x1080
湖南卫视,http://121.227.243.195:7766/rtp/239.49.1.38:6000$720x576
湖南卫视,https://stream1.freetv.fun/95c362f9fa908fd8a2eb7b94303c480dd99e8de01244cb72ba5a85dcbc121437.m3u8
湖南卫视,https://stream1.freetv.fun/b06a69fc1f704977ea40e8cdacc211ffb6c3b0b4713504f7fe7383cba1decd31.m3u8
湖南卫视,https://stream1.freetv.fun/6e1e8c8fa9c78b07103b13720938ec0762ed29ef240391c58de8287f6e030a9a.m3u8
浙江卫视,http://221.196.136.66:1/udp/225.1.1.112:5002$1920x1080
浙江卫视,http://60.164.128.167:8029/rtp/239.255.30.132:8231$1920x1080
浙江卫视,http://121.227.243.195:7766/rtp/239.49.8.139:6000$1920x1080
浙江卫视,http://121.227.243.195:7766/rtp/239.49.1.34:6000$720x576
浙江卫视,https://stream1.freetv.fun/25a68374e38b69e4e0daef2fd294dc23f4a597d1e4f8dfd4ca5f447359b5cf17.m3u8
浙江卫视,https://stream1.freetv.fun/5ffc0c126720cc8b92d57ecd040c3eab0f42b12a63351a984b59f3a6a476735e.m3u8
浙江卫视,https://stream1.freetv.fun/98c2b365be87cf4c2159356795b46f802156d44b9752f5948ae7f2b3b7f323f0.m3u8
浙江卫视,https://stream1.freetv.fun/bf470a7853a795a94f57d26c21dc39bc604aa79ca5632a2de0197d27bde7ac2d.m3u8
浙江卫视,https://stream1.freetv.fun/9db0b177cf33e55f518fee70eb5b8aca7d6d592cb2f228931613f92024e4dcee.m3u8
浙江卫视,https://stream1.freetv.fun/0df862875bddfc375a0013f39f6b8787ba04f39160fa0449e305f8952e8209e9.m3u8
北京卫视,http://60.164.128.167:8029/rtp/239.255.30.133:8231$1920x1080
北京卫视,http://221.196.136.66:1/udp/225.1.1.113:5002$1920x1080
北京卫视,https://stream1.freetv.fun/46ab56946a7aefb0c2efaeead6add73416a1f38b70b457f35faaf98ca19d9321.m3u8
北京卫视,https://stream1.freetv.fun/51166c851b4753ec0e72441db024e4c5eea171a0e77a277480256ad29b8e1333.m3u8
北京卫视,https://stream1.freetv.fun/19f46e0763d00ec0cad5540cb41c024b1f817eac5780199fbed455a9a5cc0256.m3u8
北京卫视,https://stream1.freetv.fun/d72c92b51bcf39a00530b020cb2e90b28e57622feff7e4915cacde3469c044fd.m3u8
北京卫视,https://stream1.freetv.fun/bfd48a0fc057ee1c7fc8b6cac592b9f9ca1cfd00b2ef04c0c68f6fea69970b27.m3u8
北京卫视,https://stream1.freetv.fun/786bf920787f92216b3f39c74879c122dbb5dfe0f0d4082b5f43fdf3c8a75474.m3u8
北京卫视,https://stream1.freetv.fun/d18ac7322433ae76836423994d1d40f1dff4c48870969cd9c11b11b7b89cc1c3.m3u8
北京卫视,https://stream1.freetv.fun/72571dcfa2deeb5757def46d5433417ae8430a3a7fad1ea45d459f58a771568d.m3u8
湖北卫视,http://60.164.128.167:8029/rtp/239.255.30.138:8231$1920x1080
湖北卫视,http://120.234.5.29:6000/udp/239.20.0.124:2046$1920x1080
湖北卫视,http://221.196.136.66:1/udp/225.1.1.147:5002$1920x1080
湖北卫视,http://www.745612.xyz:7788/rtp/235.254.198.72:1564$1920x1080
湖北卫视,http://121.227.243.195:7766/rtp/239.49.8.147:6000$1920x1080
湖北卫视,http://z.b.bkpcp.top/m.php?id=hubws$1920x1080
湖北卫视,https://api.livednow.org/migu/738906825?sign=gAAAAABnJcJqKQRd7CS3pk7T0oe-jdNPxgJMyiZoPVRnbmv_IbK9koQZf32EgjFFCiEXqL4IXCnWyIaEuCmqxVNsBOQTIfaHM11IVchAHo4fZfQDVy5O7WNEHwMhK7DKJ5KlnIetRjJM7Emho9soMEYdRhTfzufHG-iUjz7CegJ_e5AKCaTCCYDJttiaZciJOCbCaWjAIMfx_PmomLPvKyNinANdp0vlxg%253D%253D$1920x1080
湖北卫视,http://kxrj.site:1333/86/mg.php?id=hubws$1280x720
湖北卫视,http://121.227.243.195:7766/rtp/239.49.1.48:6000$720x576
湖北卫视,https://stream1.freetv.fun/c1d6ab376c99f7726298b846dc6790c4791e01a8edf4ccb4bfafa6f8b92424d1.m3u8
黑龙江卫视,https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000$3840x2160
黑龙江卫视,http://121.227.243.195:7766/rtp/239.49.8.144:6000$1920x1080
黑龙江卫视,http://121.227.243.195:7766/rtp/239.49.1.50:6000$720x576
黑龙江卫视,https://stream1.freetv.fun/9d7a745d71fa16ea6b1a0edce79f7b842e59487519e7a76bcef5b0c7a87a3f24.m3u8
黑龙江卫视,https://stream1.freetv.fun/8eac0925df1ae8507ad57f4372936a304c120cc31636bf1f843872e6681e563f.m3u8
黑龙江卫视,https://stream1.freetv.fun/a6c1e9c7ed878b4710fd0cd7a8a16f51e48e3eee1c5764bce984c56c0808035b.m3u8
黑龙江卫视,https://stream1.freetv.fun/37e69fa2a6e65aa433673dfec50de253c086fe33b0b9b2430524673ac807f5f0.m3u8
黑龙江卫视,https://stream1.freetv.fun/0eeff132651adc73a935c01f88939209db16d78d1dbc65ee6ca439d879d1a0f9.m3u8
黑龙江卫视,https://stream1.freetv.fun/45ce3259bd4a3293ecb6ac0d96d605ef1d8ed681f7ec64b46997b1ca0266bdf1.m3u8
黑龙江卫视,https://stream1.freetv.fun/9f8220af32932a5f5f635dc51acc8c0270c30577c3cfe1be46a9f30dadd13cfa.m3u8
安徽卫视,http://60.164.128.167:8029/rtp/239.255.30.84:8231$1920x1080
安徽卫视,http://121.227.243.195:7766/rtp/239.49.8.204:6000$1920x1080
安徽卫视,http://121.227.243.195:7766/rtp/239.49.1.36:6000$720x576
安徽卫视,https://stream1.freetv.fun/d49a1d695e1f53fd655e8b900478419355290340f4ebdccf3a1389eb8f99fdee.m3u8
安徽卫视,https://stream1.freetv.fun/aa9b31c1dbeffb511830532e0b8f1413b48dd2c61e59e843d19ba9fc3a073241.m3u8
安徽卫视,https://stream1.freetv.fun/7350af12feb5b0d1d77261d1d2086d9f8c1374e5ef5f3ff7fb8fb7fd09692b2f.m3u8
安徽卫视,https://stream1.freetv.fun/4578c4cc1ec1e3a44b49c0377bcc7ad2f839ca97cf3f744a9959ab9a30f736fb.m3u8
安徽卫视,https://stream1.freetv.fun/906b7dfc8501d563ce9e6384ef2b315281f4c89810d86a84adaa146096498593.m3u8
安徽卫视,https://stream1.freetv.fun/f81f172236a3ae061ebfa4f744e0e4df0a98e55499dc57d585073c81d366eb54.m3u8
安徽卫视,https://stream1.freetv.fun/628f836552ae45288a839fd956c4e358ed2a16c7082ee854f37c299abfba9803.m3u8
重庆卫视,http://120.234.5.29:6000/udp/239.20.0.195:2188$1920x1080
重庆卫视,http://118.251.60.185:8888/udp/239.76.253.92:9000$1920x1080
重庆卫视,http://121.227.243.195:7766/rtp/239.49.1.42:6000$720x576
重庆卫视,https://stream1.freetv.fun/7d3790a676d07fee5399a2780e889792b8ec401ef0de7b6e4e58747b63a76e48.m3u8
重庆卫视,https://stream1.freetv.fun/f5a9cba48397ca39e64e0b0f221ba9bbea65d43777bfa710c3f6088618acb537.m3u8
重庆卫视,https://stream1.freetv.fun/4543a4fedb4b0305397de293bd1cc011da668e92ebdf50e8292e89f5a47db138.m3u8
重庆卫视,https://stream1.freetv.fun/0ac1193cee60cff10162574344db89dfa7b137be99c86bc18ba567ec8db22c5e.m3u8
